Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,PAtt,PYds,PTD,Int,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,Solo,Int,Sk,College/Univ
4,124,TAM,Kwon Alexander,OLB,21,2019,0,1,4,27,24,54,0,0,0,0,0,0,0,0,0,0,0,293,7,7.5,LSU
4,125,BAL,Javorius Allen,RB,24,2019,0,0,0,14,14,64,0,0,0,0,0,350,1285,9,130,823,6,10,,,USC
4,126,SFO,Mike Davis,RB,22,2019,0,0,0,10,1,47,0,0,0,0,0,247,889,5,66,430,1,1,,,South Carolina
4,127,DAL,Damien Wilson,ILB,22,2019,0,0,2,18,11,80,0,0,0,0,0,0,0,0,0,0,0,138,,4,Minnesota
4,128,OAK,Jon Feliciano,G,23,2019,0,0,1,11,5,64,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (FL)
4,129,GNB,Jake Ryan,OLB,23,2019,0,0,2,14,14,45,0,0,0,0,0,0,0,0,0,0,0,144,,1,Michigan
4,130,SEA,Terry Poole,G,23,,0,0,0,,,,,,,,,,,,,,,,,,San Diego St.
4,131,NWE,Shaq Mason,C,22,2019,0,0,5,35,35,75,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia Tech
4,132,SFO,DeAndre Smelter,WR,23,2016,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,23,0,,,,Georgia Tech
4,133,DEN,Max Garcia,C,23,2019,0,0,2,17,16,63,0,0,0,0,0,0,0,0,0,0,0,,,,Florida
4,134,SEA,Mark Glowinski,G,23,2019,0,0,3,19,8,62,0,0,0,0,0,0,0,0,0,0,0,,,,West Virginia
4,135,CIN,Marcus Hardison,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Arizona St.
4,136,BAL,Tray Walker,CB,23,2015,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,,,Texas Southern
5,137,ATL,Grady Jarrett,NT,22,2019,0,1,4,32,32,77,0,0,0,0,0,0,0,0,0,0,0,133,,21.5,Clemson
5,138,TEN,David Cobb,RB,22,2015,0,0,0,1,1,7,0,0,0,0,0,52,146,1,1,-2,0,,,,Minnesota
5,139,JAX,Rashad Greene,WR,22,2018,0,0,0,2,2,25,0,0,0,0,0,0,0,0,30,185,2,,,,Florida St.
5,140,OAK,Ben Heeney,ILB,23,2017,0,0,0,3,3,24,0,0,0,0,0,0,0,0,0,0,0,44,,2.5,Kansas
5,141,WAS,Martrell Spaight,OLB,22,2018,0,0,0,6,6,37,0,0,0,0,0,0,0,0,0,0,0,68,1,,Arkansas
5,142,CHI,Adrian Amos,S,22,2019,0,0,5,25,19,76,0,0,0,0,0,0,0,0,0,0,0,300,5,3,Penn St.
5,143,MIN,MyCole Pruitt,TE,23,2019,0,0,1,3,1,52,0,0,0,0,0,0,0,0,27,294,2,3,,,Southern Illinois
5,144,NYG,Mykkele Thompson,S,22,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Texas
5,145,MIA,Bobby McCain,CB,22,2019,0,0,2,15,15,71,0,0,0,0,0,0,0,0,0,0,0,161,6,4,Memphis
5,146,MIN,Stefon Diggs,WR,21,2019,0,0,5,40,40,70,0,1,0,0,0,29,159,0,365,4623,30,,,,Maryland
5,147,GNB,Brett Hundley,QB,22,2019,0,0,1,5,5,18,199,337,1902,9,13,46,309,2,1,10,0,,,,UCLA
5,148,NOR,Davis Tull,OLB,23,,0,0,0,,,,,,,,,,,,,,,,,,Tenn-Chattanooga
5,149,MIA,Jay Ajayi,RB,22,2019,0,1,1,19,14,45,0,0,0,0,0,572,2546,13,63,419,1,,,,Boise St.
5,150,MIA,Cedric Thompson,S,22,,0,0,0,,,,,,,,,,,,,,,,,,Minnesota
5,151,IND,David Parry,NT,23,2018,0,0,2,13,13,36,0,0,0,0,0,0,0,0,0,0,0,52,,5,Stanford
5,152,NYJ,Jarvis Harrison,G,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas A&M
5,153,SDG,Kyle Emanuel,OLB,24,2018,0,0,2,17,17,63,0,0,0,0,0,0,0,0,0,0,0,94,2,4,North Dakota St.
5,154,NOR,Tyeler Davison,DT,22,2019,0,0,4,23,17,77,0,0,0,0,0,0,0,0,0,0,0,75,,4.5,Fresno St.
5,155,BUF,Karlos Williams,RB,22,2015,0,0,0,4,4,11,0,0,0,0,0,93,517,7,11,96,2,,,,Florida St.
5,156,MIA,Tony Lippett,WR,23,2018,0,0,1,6,6,28,0,0,0,0,0,0,0,0,0,0,0,58,4,,Michigan St.
5,157,CIN,C.J. Uzomah,TE,22,2019,0,0,3,9,9,61,0,0,0,0,0,0,0,0,106,1011,7,10,,,Auburn
5,158,ARI,Shaquille Riddick,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,West Virginia
5,159,ARI,JJ Nelson,WR,23,2019,0,0,0,12,12,58,0,0,0,0,0,12,120,1,85,1475,11,1,,,Ala-Birmingham
5,160,PIT,Jesse James,TE,21,2019,0,0,3,10,10,72,0,0,0,0,0,0,0,0,136,1331,9,,,,Penn St.
5,161,OAK,Neiron Ball,OLB,23,2015,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,7,,1,Florida
5,162,TAM,Kenny Bell,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Nebraska
5,163,DAL,Ryan Russell,DE,23,2017,0,0,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,17,,3,Purdue
5,164,DEN,Lorenzo Doss,CB,21,2018,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,,,Tulane
5,165,SFO,Bradley Pinion,P,21,2019,0,0,5,7,5,80,0,0,0,0,0,0,0,0,0,0,0,4,,,Clemson
5,166,NWE,Joe Cardona,LS,23,2019,0,0,0,5,5,80,0,0,0,0,0,0,0,0,0,0,0,7,,,Navy
5,167,NOR,Damian Swann,CB,22,2015,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,20,,,Georgia
5,168,DET,Michael Burton,FB,23,2019,0,0,0,0,0,65,0,0,0,0,0,8,11,0,9,53,1,3,,,Rutgers
5,169,CAR,David Mayo,LB,22,2019,0,0,1,10,4,75,0,0,0,0,0,0,0,0,0,0,0,89,,2,Texas St.
5,170,SEA,Tye Smith,CB,22,2019,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,31,1,,Towson
5,171,BAL,Nick Boyle,TE,22,2019,0,0,3,9,9,64,0,0,0,0,0,0,0,0,106,934,2,3,,,Delaware
5,172,KAN,D.J. Alexander,OLB,23,2019,0,1,0,7,5,61,0,0,0,0,0,0,0,0,0,0,0,41,,,Oregon St.
5,173,KAN,James O'Shaughnessy,TE,23,2019,0,0,1,4,1,58,0,0,0,0,0,0,0,0,60,602,3,10,,,Illinois St.
5,174,CAR,Cameron Artis-Payne,RB,25,2018,0,0,0,5,5,32,0,0,0,0,0,118,491,5,10,86,0,2,,,Auburn
5,175,HOU,Keith Mumphery,WR,23,2016,0,0,0,2,2,27,0,0,0,0,0,0,0,0,24,198,0,5,,,Michigan St.
5,176,BAL,Robert Myers,G,23,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee St.
6,177,TEN,Deiontrez Mount,OLB,22,2017,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,6,1,,Louisville
6,178,NWE,Matthew Wells,LB,24,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.
6,179,OAK,Max Valles,OLB,21,,0,0,0,,,,,,,,,,,,,,,,,,Virginia
6,180,JAX,Michael Bennett,DT,22,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,12,,0.5,Ohio St.
6,181,WAS,Kyshoen Jarrett,S,22,2015,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,39,,,Virginia Tech
6,182,WAS,Tevin Mitchel,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas
6,183,CHI,Tayo Fabuluje,T,24,2015,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,TCU
6,184,TAM,Kaelin Clay,WR,23,2018,0,0,0,3,,22,0,0,0,0,0,3,27,0,6,85,0,1,,,Utah
6,185,MIN,Tyrus Thompson,T,23,,0,0,0,,,,,,,,,,,,,,,,,,Oklahoma
6,186,NYG,Geremy Davis,WR,23,2019,0,0,0,0,0,36,0,0,0,0,0,0,0,0,5,59,0,6,,,Connecticut
6,187,WAS,Evan Spencer,WR,22,2015,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,Ohio St.
6,188,BUF,Tony Steward,OLB,22,2015,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,1,,,Clemson
6,189,CLE,Charles Gaines,CB,22,2015,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,15,,,Louisville
6,190,SFO,Ian Silberman,G,22,2018,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.
6,191,PHI,JaCorey Shepherd,CB,22,2016,0,0,0,1,,11,0,0,0,0,0,0,0,0,0,0,0,1,,,Kansas
6,192,SDG,Darius Philon,DT,21,2018,0,0,1,13,13,54,0,0,0,0,0,0,0,0,0,0,0,46,,9.5,Arkansas
6,193,MIN,B.J. Dubose,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,Louisville
6,194,BUF,Nick O'Leary,TE,23,2019,0,0,0,6,4,59,0,0,0,0,0,0,0,0,53,668,4,,,,Florida St.
6,195,CLE,Malcolm Johnson,TE,23,2016,0,0,0,0,0,19,0,0,0,0,0,1,2,0,9,59,0,,,,Mississippi St.
6,196,PHI,Randall Evans,CB,23,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.
6,197,CIN,Derron Smith,S,23,2017,0,0,0,3,2,38,0,0,0,0,0,0,0,0,0,0,0,9,,,Fresno St.
6,198,CLE,Randall Telfer,TE,23,2017,0,0,1,0,0,30,0,0,0,0,0,0,0,0,5,40,0,,,,USC
6,199,PIT,Leterrius Walton,DT,23,2018,0,0,0,3,3,36,0,0,0,0,0,0,0,0,0,0,0,17,,2,Central Michigan
6,200,DET,Quandre Diggs,CB,22,2019,0,0,1,16,13,70,0,0,0,0,0,0,0,0,0,0,0,207,9,1,Texas
6,201,STL,Bud Sasser,WR,,,0,0,0,,,,,,,,,,,,,,,,,,Missouri
6,202,NWE,A.J. Derby,TE,23,2018,0,0,0,3,0,25,0,0,0,0,0,0,0,0,40,452,3,1,,,Arkansas
